# Kernel Size, LipKernel Time
3.000000000000000000e+00,3.316140174865722656e+00
5.000000000000000000e+00,2.297830581665039062e+00
7.000000000000000000e+00,1.773905754089355469e+00
9.000000000000000000e+00,3.264141082763671875e+00
1.100000000000000000e+01,1.598095893859863281e+00
1.300000000000000000e+01,1.319646835327148438e-01
1.500000000000000000e+01,2.814602851867675781e+00
