# Kernel Size, Sandwich Time
3.000000000000000000e+00,1.425168037414550781e+02
5.000000000000000000e+00,1.177849292755126953e+02
7.000000000000000000e+00,1.250130891799926758e+02
9.000000000000000000e+00,1.227641582489013672e+02
1.100000000000000000e+01,1.189153909683227539e+02
1.300000000000000000e+01,1.190904140472412109e+02
1.500000000000000000e+01,1.163636445999145508e+02
