# Spatial Size, Orthogon Time
8.000000000000000000e+00,6.499505043029785156e+00
1.600000000000000000e+01,1.591844558715820312e+01
3.200000000000000000e+01,4.834754467010498047e+01
6.400000000000000000e+01,1.858616352081298828e+02
1.280000000000000000e+02,7.084053993225097656e+02
2.560000000000000000e+02,2.930942702293395996e+03
5.120000000000000000e+02,2.835286736488342285e+04
