Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Adv 1;Adv2;Adv3;;;;;;
AOL2C2F;AOL2C2F;123;20;2;1.730652948;0.930800021;0.758300006;0.4736;0.400000006;;;;;;
Lip2C2FPool;LipC2FPool;296;20;1;0.729641737;0.911499977;0.762899995;0.565800011;0.515999973;;;;;;
Lip2C2FPool;LipC2FPool;296;20;2;1.383563124;0.957400024;0.820900023;0.550199986;0.474799991;;;;;;
AOL2C2F;AOL2C2F;296;20;1;0.907781819;0.887899995;0.714100003;0.503199995;0.458099991;;;;;;
AOL2C2F;AOL2C2F;296;20;2;1.703508176;0.930800021;0.762799978;0.465499997;0.373800009;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Vanilla2C2FPool;Vanilla2C2FPool;1;20;;139.735702;0.992799997;0.714699984;0.560100019;0.53549999;;;;;;
Vanilla2C2FPool;Vanilla2C2FPool;123;20;;144.3513171;0.992699981;0.730700016;0.54369998;0.513700008;;;;;;
Vanilla2C2FPool;Vanilla2C2FPool;296;20;;159.9999268;0.992500007;0.749199986;0.583299994;0.56099999;;;;;;
Lip2C2FPool;LipC2FPool;1;20;10;6.124854884;0.986199975;0.709500015;0.209000006;0.158600003;;;;;;
Lip2C2FPool;LipC2FPool;1;20;20;9.597490905;0.987200022;0.604499996;0.1193;0.083700001;;;;;;
Lip2C2FPool;LipC2FPool;1;20;50;17.52716136;0.987299979;0.466300011;0.069399998;0.047200002;;;;;;
Lip2C2FPool;LipC2FPool;1;20;100;23.78867636;0.987699986;0.432300001;0.069600001;0.055;;;;;;
AOL2C2F;AOL2C2F;1;20;10;4.016657478;0.976800025;0.81279999;0.355699986;0.288899988;;;;;;
AOL2C2F;AOL2C2F;1;20;20;5.259086919;0.985700011;0.842700005;0.382600009;0.305700004;;;;;;
AOL2C2F;AOL2C2F;1;20;50;7.023908113;0.99119997;0.878799975;0.460999995;0.387100011;;;;;;
AOL2C2F;AOL2C2F;1;20;100;9.943962635;0.99150002;0.880400002;0.444999993;0.374199986;;;;;;
All2C2F;Orthogon;1;20;0.5;0.48683396;0.896000028;0.768400013;0.617600024;0.584800005;;;;;;
All2C2F;Sandwich;1;20;0.5;0.48117725;0.935000002;0.840699971;0.706399977;0.671899974;;;;;;
Lip2C2F;LipC2F;1;20;0.5;0.488275681;0.9296;0.828100026;0.685599983;0.653199971;;;;;;
All2C2F;Orthogon;123;20;0.5;0.487341656;0.894400001;0.767099977;0.614499986;0.580500007;;;;;;
All2C2F;Sandwich;123;20;0.5;0.478655378;0.934199989;0.83890003;0.702899992;0.672200024;;;;;;
Lip2C2F;LipC2F;123;20;0.5;0.486653583;0.930000007;0.827400029;0.679700017;0.647400022;;;;;;
All2C2F;Orthogon;296;20;0.5;0.488083441;0.897499979;0.773000002;0.619000018;0.587599993;;;;;;
All2C2F;Sandwich;296;20;0.5;0.471885431;0.934099972;0.838199973;0.697399974;0.666400015;;;;;;
Lip2C2F;LipC2F;296;20;0.5;0.485386423;0.931599975;0.828700006;0.683899999;0.651199996;;;;;;
All2C2F;Orthogon;1;20;0.25;0.242929476;0.858200014;0.733500004;0.584599972;0.552999973;;;;;;
All2C2F;Sandwich;1;20;0.25;0.24039419;0.903100014;0.797699988;0.660000026;0.626699984;;;;;;
Lip2C2F;LipC2F;1;20;0.25;0.241443514;0.899299979;0.788100004;0.649800003;0.61500001;;;;;;
All2C2F;Orthogon;123;20;0.25;0.242253518;0.859000027;0.734899998;0.589600027;0.557099998;;;;;;
All2C2F;Sandwich;123;20;0.25;0.241703003;0.901499987;0.793200016;0.654999971;0.624300003;;;;;;
Lip2C2F;LipC2F;123;20;0.25;0.242212148;0.899800003;0.788299978;0.648299992;0.616999984;;;;;;
All2C2F;Orthogon;296;20;0.25;0.24028379;0.859200001;0.733200014;0.587499976;0.557600021;;;;;;
All2C2F;Sandwich;296;20;0.25;0.239238349;0.902199984;0.791299999;0.657000005;0.62559998;;;;;;
Lip2C2F;LipC2F;296;20;0.25;0.24332007;0.899999976;0.787199974;0.646300018;0.614400029;;;;;;
AOL2C2F;AOL2C2F;1;20;0.25;0.229500645;0.795700014;0.629999995;0.476599991;0.448599994;;;;;;
AOL2C2F;AOL2C2F;1;20;0.5;0.468166656;0.825999975;0.646300018;0.48300001;0.452899992;;;;;;
Lip2C2FPool;LipC2FPool;1;20;0.25;0.234921692;0.866299987;0.70599997;0.529299974;0.490700006;;;;;;
Lip2C2FPool;LipC2FPool;1;20;0.5;0.469830412;0.897000015;0.754400015;0.573700011;0.530900002;;;;;;
AOL2C2F;AOL2C2F;123;20;0.25;0.225422771;0.789799988;0.624199986;0.478799999;0.451099992;;;;;;
AOL2C2F;AOL2C2F;123;20;0.5;0.466975222;0.821500003;0.647499979;0.487199992;0.458000004;;;;;;
Lip2C2FPool;LipC2FPool;123;20;0.25;0.196921407;0.84740001;0.675100029;0.500100017;0.467599988;;;;;;
Lip2C2FPool;LipC2FPool;123;20;0.5;0.283749048;0.879400015;0.730799973;0.551199973;0.511200011;;;;;;
AOL2C2F;AOL2C2F;296;20;0.25;0.225586722;0.796700001;0.635599971;0.485799998;0.45629999;;;;;;
AOL2C2F;AOL2C2F;296;20;0.5;0.458176214;0.827099979;0.648999989;0.489800006;0.461800009;;;;;;
Lip2C2FPool;LipC2FPool;296;20;0.25;0.082196121;0.802699983;0.631299973;0.469700009;0.438499987;;;;;;
Lip2C2FPool;LipC2FPool;296;20;0.5;0.186621445;0.841700017;0.671899974;0.4912;0.456400007;;;;;;
Lip2C2FPool;LipC2FPool;1;20;0.25;0.234708572;0.863399982;0.702199996;0.5255;0.487199992;;;;;;
Lip2C2FPool;LipC2FPool;1;20;0.5;0.469736476;0.898999989;0.755500019;0.575800002;0.534699976;;;;;;
Lip2C2FPool;LipC2FPool;123;20;0.25;0.185539567;0.858500004;0.684599996;0.497200012;0.457199991;;;;;;
Lip2C2FPool;LipC2FPool;123;20;0.5;0.292076609;0.880200028;0.738699973;0.566200018;0.526799977;;;;;;
Lip2C2FPool;LipC2FPool;296;20;0.25;0.188860882;0.83920002;0.660000026;0.485500008;0.453700006;;;;;;
Lip2C2FPool;LipC2FPool;296;20;0.5;0.377971637;0.877499998;0.719799995;0.538200021;0.503400028;;;;;;
Lip2C2FPool;LipC2FPool;1;20;8;5.401380341;0.984300017;0.729200006;0.222499996;0.169;;;;;;
Lip2C2FPool;LipC2FPool;1;20;16;8.297845529;0.986800015;0.663399994;0.160699993;0.118699998;;;;;;
Lip2C2FPool;LipC2FPool;1;20;32;12.56657442;0.986299992;0.548300028;0.084799998;0.056499999;;;;;;
AOL2C2F;AOL2C2F;1;20;8;3.645500618;0.971400023;0.782899976;0.314300001;0.245800003;;;;;;
AOL2C2F;AOL2C2F;1;20;16;4.505931759;0.98360002;0.827499986;0.357600003;0.2861;;;;;;
AOL2C2F;AOL2C2F;1;20;32;5.769053197;0.988900006;0.875199974;0.466300011;0.388799995;;;;;;
Lip2C2FPool;LipC2FPool;123;20;8;4.503798048;0.973200023;0.701399982;0.244900003;0.195899993;;;;;;
Lip2C2FPool;LipC2FPool;1;20;8;5.73864587;0.98360002;0.716700017;0.224999994;0.170599997;;;;;;
Lip2C2FPool;LipC2FPool;1;20;16;8.819628274;0.980499983;0.600300014;0.156800002;0.116700001;;;;;;
Lip2C2FPool;LipC2FPool;1;20;32;11.94927111;0.977999985;0.516099989;0.1175;0.088699996;;;;;;
AOL2C2F;AOL2C2F;1;20;8;3.645500618;0.971400023;0.782899976;0.314300001;0.245800003;;;;;;
AOL2C2F;AOL2C2F;1;20;16;4.505931759;0.98360002;0.827499986;0.357600003;0.2861;;;;;;
AOL2C2F;AOL2C2F;1;20;32;5.769053197;0.988900006;0.875199974;0.466300011;0.388799995;;;;;;
Lip2C2FPool;LipC2FPool;296;20;8;5.819478757;0.975700021;0.641900003;0.192200005;0.146400005;;;;;;
Lip2C2FPool;LipC2FPool;296;20;16;8.453294678;0.974799991;0.546299994;0.140400007;0.104400001;;;;;;
Lip2C2FPool;LipC2FPool;296;20;32;11.18791462;0.980000019;0.543799996;0.140200004;0.100900002;;;;;;
AOL2C2F;AOL2C2F;296;20;8;3.69555302;0.974399984;0.797500014;0.335999995;0.261900008;;;;;;
AOL2C2F;AOL2C2F;296;20;16;5.094459531;0.98210001;0.812099993;0.33129999;0.257499993;;;;;;
AOL2C2F;AOL2C2F;296;20;32;5.908692516;0.987399995;0.867900014;0.431600004;0.357800007;;;;;;
Lip2C2FPool;LipC2FPool;123;20;8;3.201459796;0.969099998;0.725199997;0.263599992;0.203199998;;;;;;
Lip2C2FPool;LipC2FPool;123;20;16;6.366633292;0.975300014;0.61680001;0.178900003;0.137199998;;;;;;
Lip2C2FPool;LipC2FPool;123;20;32;11.11902964;0.975199997;0.576099992;0.163900003;0.129500002;;;;;;
AOL2C2F;AOL2C2F;123;20;8;3.849592034;0.974699974;0.811600029;0.343800008;0.271299988;;;;;;
AOL2C2F;AOL2C2F;123;20;16;4.599588641;0.982900023;0.825500011;0.353799999;0.283499986;;;;;;
AOL2C2F;AOL2C2F;123;20;32;5.935530165;0.989300013;0.868200004;0.437299997;0.358399987;;;;;;
Lip2C2FPool;LipC2FPool;1;20;8;5.687212926;0.982500017;0.721199989;0.212799996;0.165999994;;;;;;
Lip2C2FPool;LipC2FPool;1;1;8;2.893531452;0.920599997;0.621900022;0.213400006;0.162599996;77.3;47.12;18.98;;;
