Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Adv 1;Adv2;Adv3;;;;;;
LipLeNet5;LipLeNet5;1;30;5;3.424358286;0.983699977;0.849399984;0.376300007;0.309599996;;;;;;
LipLeNet5;LipLeNet5;1;30;10;5.813027635;0.984799981;0.764400005;0.260100007;0.210099995;;;;;;
LipLeNet5;LipLeNet5;1;30;20;9.958371682;0.975600004;0.468600005;0.0902;0.067699999;;;;;;
LipLeNet5;LipLeNet5;1;30;50;16.1624699;0.984200001;0.536300004;0.127100006;0.1043;;;;;;
LipLeNet5;LipLeNet5;1;30;100;24.15899761;0.971800029;0.257200003;0.033500001;0.0261;;;;;;
VanillaLeNet5;VanillaLeNet5;1;30;100;197.7411404;0.992500007;0.839600027;0.653900027;0.630299985;;;;;;
LipLeNet5;LipLeNet5;1;1;1;0.828279301;0.830200016;0.617200017;0.375099987;0.31400001;;;;;;
LipLeNet5;LipLeNet5;1;1;2;1.606661017;0.866299987;0.61589998;0.246900007;0.1796;;;;;;
LipLeNet5;LipLeNet5;1;1;5;3.337099538;0.898100019;0.558000028;0.142499998;0.105899997;;;;;;
LipLeNet5;LipLeNet5;1;1;10;4.892772849;0.907700002;0.494399995;0.123000003;0.094599999;;;;;;
LipLeNet5;LipLeNet5;1;1;20;5.202412874;0.909799993;0.50029999;0.129500002;0.104000002;;;;;;
LipLeNet5;LipLeNet5;1;1;50;6.792938145;0.922999978;0.541400015;0.139799997;0.112000003;;;;;;
LipLeNet5;LipLeNet5;1;1;100;8.072373606;0.927699983;0.526199996;0.128199995;0.103500001;;;;;;
VanillaLeNet5;VanillaLeNet5;1;1;100;5.5431931;0.878300011;0.59829998;0.259600013;0.204400003;;;;;;
AllLeNet5;Aol;1;1;1;0.020825901;0.345099986;0.297800004;0.259799987;0.256000012;;;;;;
AllLeNet5;Aol;1;1;2;0.058232527;0.538200021;0.458099991;0.371300012;0.355100006;;;;;;
AllLeNet5;Aol;1;1;5;0.174704432;0.650399983;0.550000012;0.437299997;0.409200013;;;;;;
AllLeNet5;Aol;1;1;10;0.380588827;0.692799985;0.577400029;0.441599995;0.407799989;;;;;;
AllLeNet5;Aol;1;1;20;0.753994437;0.726800025;0.587499976;0.432099998;0.398600012;;;;;;
AllLeNet5;Aol;1;1;50;1.605740118;0.798699975;0.614199996;0.416700006;0.368400007;;;;;;
AllLeNet5;Aol;1;1;100;2.439165964;0.858699977;0.63349998;0.381599993;0.318599999;;;;;;
LipLeNet5;LipLeNet5;123;1;1;0.208200142;0.747600019;0.548699975;0.368000001;0.327499986;;;;;;
LipLeNet5;LipLeNet5;123;1;2;0.728468906;0.810400009;0.587700009;0.368000001;0.317900002;;;;;;
LipLeNet5;LipLeNet5;1;30;1;0.848224397;0.943199992;0.831099987;0.642799973;0.596000016;;;;;;
LipLeNet5;LipLeNet5;1;30;2;1.598494182;0.966600001;0.857800007;0.590600014;0.486600012;;;;;;
LipLeNet5;LipLeNet5;1;30;5;3.424358286;0.983699977;0.849399984;0.376300007;0.309599996;;;;;;
LipLeNet5;LipLeNet5;1;30;10;5.813027635;0.984799981;0.764400005;0.260100007;0.210099995;;;;;;
LipLeNet5;LipLeNet5;1;30;20;9.958371682;0.975600004;0.468600005;0.0902;0.067699999;;;;;;
LipLeNet5;LipLeNet5;1;30;50;16.1624699;0.984200001;0.536300004;0.127100006;0.1043;;;;;;
LipLeNet5;LipLeNet5;1;30;100;24.15899761;0.971800029;0.257200003;0.033500001;0.0261;;;;;;
VanillaLeNet5;VanillaLeNet5;1;30;100;197.7411404;0.992500007;0.839600027;0.653900027;0.630299985;;;;;;
AllLeNet5;Aol;1;30;1;0.231687974;0.795099974;0.614000022;0.456900001;0.430799991;;;;;;
AllLeNet5;Aol;1;30;2;0.443573467;0.837899983;0.665099978;0.499599993;0.471599996;;;;;;
AllLeNet5;Aol;1;30;5;1.105709845;0.910300016;0.750500023;0.514500022;0.457399994;;;;;;
AllLeNet5;Aol;1;30;10;2.002647436;0.953100026;0.799300015;0.467000008;0.375999987;;;;;;
AllLeNet5;Aol;1;30;20;3.217075394;0.971300006;0.812699974;0.391900003;0.322899997;;;;;;
AllLeNet5;Aol;1;30;50;5.156598998;0.980799973;0.795400023;0.335799992;0.269699991;;;;;;
AllLeNet5;Aol;1;30;100;6.805423806;0.984300017;0.769900024;0.323700011;0.262600005;;;;;;
LipLeNet5;LipLeNet5;123;30;1;0.88826771;0.890100002;0.708599985;0.474999994;0.419099987;;;;;;
LipLeNet5;LipLeNet5;123;30;2;1.637113392;0.933000028;0.737299979;0.380699992;0.2755;;;;;;
LipLeNet5;LipLeNet5;123;30;5;3.537927711;0.963699996;0.699100018;0.206799999;0.161599994;;;;;;
LipLeNet5;LipLeNet5;123;30;10;5.505548453;0.968200028;0.616400003;0.152899995;0.123499997;;;;;;
LipLeNet5;LipLeNet5;123;30;20;8.346536578;0.9727;0.489499986;0.126800001;0.101800002;;;;;;
LipLeNet5;LipLeNet5;123;30;50;12.03214282;0.972000003;0.38440001;0.068899997;0.049899999;;;;;;
LipLeNet5;LipLeNet5;123;30;100;16.56198499;0.9727;0.304699987;0.050299998;0.039299998;;;;;;
VanillaLeNet5;VanillaLeNet5;123;30;100;204.5416752;0.9921;0.774500012;0.591300011;0.570599973;;;;;;
AllLeNet5;Aol;123;30;1;0.22848663;0.795799971;0.62650001;0.475199997;0.443500012;;;;;;
AllLeNet5;Aol;123;30;2;0.46812881;0.824199975;0.643700004;0.477699995;0.445199996;;;;;;
AllLeNet5;Aol;123;30;5;1.100491267;0.91140002;0.747500002;0.513400018;0.45539999;;;;;;
AllLeNet5;Aol;123;30;10;2.082126179;0.949800014;0.791800022;0.451900005;0.361200005;;;;;;
AllLeNet5;Aol;123;30;20;3.149847808;0.972000003;0.815500021;0.386700004;0.312599987;;;;;;
AllLeNet5;Aol;123;30;50;4.609412862;0.978500009;0.789799988;0.344599992;0.2764;;;;;;
AllLeNet5;Aol;123;30;100;6.154732609;0.987100005;0.80309999;0.359499991;0.29519999;;;;;;
LipLeNet5;LipLeNet5;296;30;1;0.846751561;0.935000002;0.816500008;0.624499977;0.574000001;;;;;;
LipLeNet5;LipLeNet5;296;30;2;1.636976782;0.970200002;0.864600003;0.601199985;0.511699975;;;;;;
LipLeNet5;LipLeNet5;296;30;5;3.307462929;0.981999993;0.841400027;0.369899988;0.296999991;;;;;;
LipLeNet5;LipLeNet5;296;30;10;5.602274446;0.986199975;0.784099996;0.29429999;0.238299996;;;;;;
LipLeNet5;LipLeNet5;296;30;20;9.015146438;0.986999989;0.712800026;0.233899996;0.193200007;;;;;;
LipLeNet5;LipLeNet5;296;30;50;15.05174232;0.989099979;0.68900001;0.239700004;0.197999999;;;;;;
LipLeNet5;LipLeNet5;296;30;100;18.92466578;0.991400003;0.715399981;0.267699987;0.222000003;;;;;;
VanillaLeNet5;VanillaLeNet5;296;30;100;172.0838674;0.991999984;0.793900013;0.654200017;0.635500014;;;;;;
AllLeNet5;Aol;296;30;1;0.228015826;0.794399977;0.625800014;0.467999995;0.440499991;;;;;;
AllLeNet5;Aol;296;30;2;0.466678972;0.820500016;0.640500009;0.473199993;0.443300009;;;;;;
AllLeNet5;Aol;296;30;5;1.134342239;0.907299995;0.726499975;0.479999989;0.423299998;;;;;;
AllLeNet5;Aol;296;30;10;2.04018269;0.951900005;0.794700027;0.463999987;0.375400007;;;;;;
AllLeNet5;Aol;296;30;20;3.500355566;0.970399976;0.811399996;0.381700009;0.306699991;;;;;;
AllLeNet5;Aol;296;30;50;5.179026658;0.979700029;0.80250001;0.320100009;0.2509;;;;;;
AllLeNet5;Aol;296;30;100;6.228448561;0.986400008;0.822399974;0.374500006;0.306899995;;;;;;
VanillaLeNet5;VanillaLeNet5;1;5;1;29.6680981;0.991400003;0.842499971;0.466699988;0.407499999;;;;;;
VanillaLeNet5;VanillaLeNet5;123;5;1;49.10471412;0.992600024;0.813499987;0.426899999;0.381000012;;;;;;
VanillaLeNet5;VanillaLeNet5;296;5;1;35.35482633;0.99119997;0.800000012;0.378699988;0.324900001;;;;;;
LipLeNet5;LipLeNet5;1;50;1;0.878645456;0.949599981;0.839399993;0.648999989;0.603600025;;;;;;
LipLeNet5;LipLeNet5;1;50;2;1.599472841;0.973999977;0.8829;0.636200011;0.539699972;;;;;;
LipLeNet5;LipLeNet5;1;50;5;3.422228094;0.986299992;0.865700006;0.416399986;0.341899991;;;;;;
LipLeNet5;LipLeNet5;1;50;10;5.629649127;0.988200009;0.799700022;0.302100003;0.243900001;;;;;;
LipLeNet5;LipLeNet5;1;50;20;8.398993895;0.991599977;0.795899987;0.314799994;0.260800004;;;;;;
LipLeNet5;LipLeNet5;1;50;50;18.28068576;0.977900028;0.325199991;0.048300002;0.037999999;;;;;;
