# Spatial Size, Sandwich Time
8.000000000000000000e+00,2.472517490386962891e+01
1.600000000000000000e+01,1.116528511047363281e+02
3.200000000000000000e+01,1.271739482879638530e+02
6.400000000000000000e+01,4.645195722579956055e+02
1.280000000000000000e+02,1.765274357795715332e+03
2.560000000000000000e+02,7.451370429992675781e+03
5.120000000000000000e+02,3.206339569091797239e+04
