# Kernel Size, Orthogon Time
3.000000000000000000e+00,1.194427728652954102e+02
5.000000000000000000e+00,4.437391757965087891e+01
7.000000000000000000e+00,4.987766742706298828e+01
9.000000000000000000e+00,4.395878314971923828e+01
1.100000000000000000e+01,4.873757362365722656e+01
1.300000000000000000e+01,4.873807430267333984e+01
1.500000000000000000e+01,4.591295719146728516e+01
