# Spatial Size, LipKernel Time
8.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
6.400000000000000000e+01,0.000000000000000000e+00
1.280000000000000000e+02,6.220364570617675781e+00
2.560000000000000000e+02,8.171319961547851562e+00
5.120000000000000000e+02,1.409648180007934570e+02
